Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
Sapeado,Having received a slap or scold,Humor and Exaggerated,Negative,TikTok,10s,¡Ya me dieron un buen sapeado!,"From ""sape,"" referring to being lightly slapped. Used playfully. From ""zape.""",2016,Casual,Word,Spanish
Intenseado,Acting intense,Negative Experiences,Negative,Instagram,20s-30s,Estás bien intenseado con ese proyecto.,"From ""intense,"" refers to someone overly dramatic or serious. Used humorously. From ""intenso.""",2014,Casual,Word,Spanish
Stalkeado,Being stalked (online),Relationships,Negative,Instagram,20s-30s,¿Me estás stalkeando en redes?,"From ""stalk,"" refers to someone being followed or checked out online. Popular in social media. From English ""stalk.""",2013,Casual,Word,Spanish
Bien prendido,"Hyped, turned on",Positive Experiences,Positive,Messenger,20s-30s,¡Estoy bien prendido con este show!,"Means ""very excited"" or ""lively."" Used to describe parties or enthusiastic people. Common at parties or concerts.",2006,Casual,Phase,Spanish
Chavoruco,Used to describe an older person who tries to act or dress like a young person.,Conversational,Neutral/Negative,Null,30s-50s,Ese señor con gorra y patineta es un chavoruco.,"Combination of ""chavo"" (young person) and ""ruco"" (old person). Popular in Latin American countries, especially Mexico.",2008,Casual,Word,Spanish
Simón,"A colloquial, informal way of saying ""sí"" (yes) in Mexico.",Positive,Positive,Null,All,-¿Vas a ir a la fiesta? -Simón.,"Originates from Mexican slang, likely as a playful variation of ""sí."" Widely used in Mexico, particularly in urban areas.",1987,Casual,Word,Spanish
Delulu,Belief in unrealistic scenarios or fantasies,Humor and Exaggerated,Negative,TikTok,10s-30s,"La chica está muy delulu, se cree que va a salir con el famoso.","Short for ""delusional,"" popularized in TikTok and social media to humorously describe unrealistic thinking. Originated from ""delusional""; used humorously in fandoms.",2023,Casual,Word,Spanish
Potaxie,Term for individuals opposing macho or homophobic behaviors,Humor and Exaggerated,Neutral,TikTok,10s-30s,¿Has visto las fotos de su potaxie? Se ve increíble.,"Playful slang for ""potassium,"" popularized by memes and social media as a humorous mispronunciation. Popular in LGBTQ+ communities; emerged from TikTok.",2023,Casual,Word,Spanish
Puchaina,Refers to fictional empowering female legends,Humor and Exaggerated,Positive,TikTok,10s-30s,"¡Ay, qué puchaina tu amigo, siempre anda de dramático!","Slang derived from phonetic exaggeration, popular in memes and informal conversations. Derived from mispronunciation of ""vagina"" in a song; used in AI-generated stories.",2023,Casual,Word,Spanish
Rizz,"Charisma or charm, especially in flirting",Relationships,Positive,TikTok,10s-30s,"El tipo tiene mucho rizz, siempre sabe cómo conquistar a las chicas.","Short for ""charisma,"" used to describe someone's ability to charm or flirt, popularized on TikTok. Popularized by streamer Kai Cenat; named Oxford's 2023 Word of the Year.",2023,Casual,Word,Spanish
Cheugy,Describes outdated or trying-too-hard aesthetics,Social,Negative,TikTok,10s-30s,"Eso está muy cheugy, ¿por qué sigues usando esas camisetas tan pasadas de moda?",Refers to something outdated or trying too hard to be trendy. Popularized in Gen Z culture online. Used to critique millennial trends; implies something is uncool.,2023,Casual,Word,Spanish
Yassificar,To enhance or glamorize something dramatically,Beauty,Positive,TikTok,10s-30s,¡Tienes que yassificar más esa foto!,"From ""yass"" and ""beautify,"" refers to glamorizing or exaggerating beauty. Used humorously. From ""yass"" (enthusiastic yes) and ""beautify""; often used in makeover contexts.",2023,Casual,Word,Spanish
Fashion burnout,Overwhelm from rapidly changing fashion trends,Negative Experiences,Negative,Instagram,10s-30s,"Estoy en un fashion burnout, ya no quiero comprar más ropa.",Refers to exhaustion or disinterest due to overexposure to fashion trends. Popular in social media. Result of fast-paced trends on platforms like TikTok.,2023,Casual,Phrase,Spanish
Bestie,Term of endearment for a close friend,Relationships,Positive,Instagram,10s-30s,"¡Bestie, tienes que ver esto!","Slang for ""best friend."" Widely used in social media and casual conversations. Derived from ""best friend""; commonly used in direct addresses.",2016,Casual,Word,Spanish
Slay,To do something exceptionally well or impressively,Positive Experiences,Positive,Instagram,10s-30s,¡Ese outfit sí que lo slayaste!,"Means ""to succeed"" or ""look amazing."" Popular in queer culture and social media. Used to commend achievements or outstanding appearances.",2015,Casual,Word,Spanish
Simp,Someone who is overly attentive or submissive to someone they admire,Relationships,Negative,Twitter,10s-30s,"¡Deja de ser un simp, no necesitas hacer todo por ella!",Refers to someone overly submissive or self-sacrificing in romantic pursuits. Popular in memes. Can be derogatory; implies excessive devotion.,2016,Casual,Word,Spanish
Sheesh,Expression of amazement or disbelief,Humor and Exaggerated,Positive,TikTok,10s-30s,¡Sheesh! Esa canción está buenísima.,Exclamation expressing amazement or disbelief. Popularized in TikTok trends. Often drawn out for emphasis; popular in reaction videos.,2023,Casual,Word,Spanish
Vibeo,The act of vibing; enjoying the moment,Social,Positive,TikTok,10s-30s,"Hoy estoy vibeando en la playa, es el lugar perfecto.","Refers to ""vibing"" or enjoying a moment. Common in youth slang and casual talk. Spanish adaptation of ""vibe""; indicates being in sync with surroundings.",2023,Casual,Word,Spanish
No mames,Expression of disbelief or astonishment,Conversational,Negative,null,10s-30s,"¡No mames, en serio lo hiciste!","Mexican slang meaning ""no way"" or ""are you kidding me?"" Widely used in informal contexts. Mexican slang; can be vulgar depending on context.",1985,Casual/Vulgar,,Spanish
Qué perra mi amiga,Compliment indicating a friend looks exceptionally good,Humor and Exaggerated,Positive,Instagram,10s-30s,"¡Qué perra mi amiga, siempre tiene todo bajo control!","Playful phrase meaning ""how savage my friend is,"" often used humorously to compliment confidence. Translates to ""how badass my friend""; reclaimed slang.",2023,Casual,Phrase,Spanish
Ando bien chido,Feeling really good or cool,Positive Experiences,Positive,Messenger,10s-30s,"Ando bien chido, todo me está saliendo perfecto.","Means ""I'm doing great"" or ""I'm feeling awesome."" Common in Mexican slang. Mexican slang; ""chido"" means cool or nice.",2006,Casual,Phrase,Spanish
Estoy living,I'm living for this; loving it,Positive Experiences,Positive,Instagram,10s-30s,"¡Estoy living, todo está increíble!","Borrowed from English, means ""I'm living my best life."" Popular in social media culture. Spanglish expression; indicates strong approval.",2023,Casual,Phrase,Spanish
Qué oso,How embarrassing,Negative Experiences,Negative,null,10s-30s,¡Qué oso que me equivoqué en la presentación!,"Mexican slang for ""how embarrassing."" Common in informal conversations. Common Mexican phrase; ""oso"" means bear, implying a big deal.",2003,Casual,Phrase,Spanish
Anda en su glow up,Someone is going through a positive transformation,Beauty,Positive,TikTok,10s-30s,"¡Mira cómo anda en su glow up, se ve increíble!","Refers to someone improving themselves, physically or emotionally. Popular in social media. Glow up refers to an impressive improvement in appearance or style.",2023,Casual,Phrase,Spanish
Full send,To go all out or commit fully,Social,Positive,Twitch,10s-30s,"¡Vamos a full send esta fiesta, no hay límites!","Phrase meaning ""to go all out"" or ""commit entirely."" Popularized in extreme sports and memes. Encourages taking risks; popularized by internet culture.",2023,Casual,Phrase,Spanish
Está en mood,Being in a particular mood or vibe,Social,Neutral,Instagram,10s-30s,"No hables con ella, está en mood de no querer hablar.","Means ""they're in the mood"" or ""they're feeling a certain way."" Common in youth slang. Derived from English ""mood""; indicates empathy with someone's feelings.",2023,Casual,Phrase,Spanish
Tirar shade,To subtly insult or disrespect someone,Relationships,Negative,Twitter,10s-30s,"Siempre está tirando shade a todos, qué molesta.","From English ""throwing shade,"" refers to subtly insulting someone. Popular in internet culture. From English ""throw shade""; common in online disputes.",2014,Casual,Phrase,Spanish
Estoy shook,I'm shocked or surprised,Negative Experiences,Negative,Instagram,10s-30s,¡Estoy shook con todo lo que pasó en la fiesta anoche!,"From English ""shook,"" means ""I'm shocked."" Widespread in social media. Spanglish; ""shook"" indicates being shaken by news or events.",2015,Casual,Phrase,Spanish
Qué cringe,Something is embarrassing or awkward,Negative Experiences,Negative,Twitter,10s-30s,"¡Qué cringe fue esa película, me dio vergüenza!","From ""cringe,"" refers to something awkward or embarrassing. Popular in youth slang. Adopted from English ""cringe""; describes secondhand embarrassment.",2014,Casual,Phrase,Spanish
Está flexeando,Someone is showing off or bragging,Social,Negative,Instagram,10s-30s,"Está flexeando con su nuevo coche, no para de hablar de él.","From ""flexing,"" refers to showing off. Common in social media and informal talk. From English ""flexing""; indicates displaying wealth or success.",2015,Casual,Phrase,Spanish
Highkey,Very obvious or openly expressed,Conversational,Positive,Twitter,10s-30s,Highkey me muero por ir a ese concierto.,"Means ""obviously"" or ""openly."" Borrowed from English slang, popular in youth culture. Opposite of ""lowkey""; used to emphasize statements.",2014,Casual,Word,Spanish
Lowkey,Secretly or subtly,Conversational,Neutral,Twitter,10s-30s,"Lowkey, no quiero ir a esa fiesta, pero me da pena decirlo.","Means ""secretly"" or ""subtly."" Borrowed from English slang, popular in casual conversations. Indicates something not openly acknowledged or done quietly.",2013,Casual,Word,Spanish
Stan,To be an obsessive fan of someone or something,Hobbies,Positive,Twitter,10s-30s,"Yo stan a esa banda, son geniales.","From Eminem's song ""Stan,"" refers to being a devoted fan. Popular in fandom culture. Originated from Eminem's song ""Stan""; denotes intense fandom.",2013,Casual,Word,Spanish
Yeet,To throw something forcefully or an exclamation of excitement,Humor and Exaggerated,Positive,TikTok,10s-30s,¡Yeet! Lanzó el balón tan lejos.,Exclamation for throwing or discarding something energetically. Popular in memes and youth slang. Used both as a verb and an exclamation; indicates force or enthusiasm.,2015,Casual,Word,Spanish
GOAT,Greatest of All Time,Positive Experiences,Positive,Twitter,10s-30s,"Es el GOAT en ese deporte, siempre gana.","Acronym for ""Greatest of All Time."" Popular in sports and entertainment discussions. Acronym praising someone's unparalleled status.",2013,Casual,Word,Spanish
On fleek,Perfectly done or on point,Beauty,Positive,Instagram,10s-30s,"¡Tu maquillaje está on fleek, se ve perfecto!","Means ""perfect"" or ""on point."" Popularized in beauty-related social media. Originally used to describe well-groomed eyebrows; now more general.",2015,Casual,Phrase,Spanish
Snack,Someone who looks good; attractive person,Beauty,Positive,Instagram,10s-30s,¡Qué snack está ese chico!,Refers to someone attractive. Common in youth slang and social media. Implies the person is as appealing as a tasty snack.,2015,Casual,Word,Spanish
Finísimo,Exceptionally fine or high-quality,Positive Experiences,Positive,null,10s-30s,"El restaurante está finísimo, la comida es deliciosa.","Means ""extremely fine"" or ""elegant."" Common in Mexican slang. Spanish superlative; emphasizes excellence.",2008,Casual,Word,Spanish
Ando modo diablo,I'm in devil mode; feeling rebellious or wild,Social,Neutral,TikTok,10s-30s,¡Ando modo diablo hoy!,"Means ""I'm in devil mode,"" referring to wild or rebellious behavior. Popular in youth slang. Indicates readiness to break rules or party hard.",2023,Casual,Phrase,Spanish
Qué flow,What style; acknowledging someone's swag,Social,Positive,Instagram,10s-30s,"¡Qué flow trae ese chico, se ve increíble!","Means ""what style"" or ""what vibe."" Common in music and fashion discussions. Flow refers to personal style or charisma.",2015,Casual,Phrase,Spanish
Está en la friendzone,"Someone is categorized only as a friend, not a romantic interest",Relationships,Negative,Twitter,10s-30s,"¡Está en la friendzone, ni se moleste!","Refers to being stuck as ""just friends"" with someone. Popular in memes and youth culture. Being in the ""friend zone"" implies unrequited romantic feelings.",2015,Casual,Phrase,Spanish
Qué random,How random; unexpected or out of place,Humor and Exaggerated,Neutral,Twitter,10s-30s,¡Qué random que nos encontramos aquí!,"Borrowed from English, means ""how random."" Used in casual conversations. Adopted from English ""random""; describes unpredictability.",2013,Casual,Phrase,Spanish
Estoy en modo chill,I'm in a relaxed mode,Social,Positive,Instagram,10s-30s,"Estoy en modo chill, no quiero hacer nada hoy.","Means ""I'm relaxed"" or ""taking it easy."" Popular in youth slang. Chill indicates a laid-back attitude or environment.",2023,Casual,Phrase,Spanish
Qué hardcore,How intense or extreme,Social,Positive,Messenger,10s-30s,"¡Qué hardcore estuvo ese concierto, nunca lo voy a olvidar!","Means ""how intense"" or ""how extreme."" Common in informal conversations. Hardcore describes something as being to the extreme.",2006,Casual,Phrase,Spanish
Está muy X,It's very mediocre or unremarkable,Negative Experiences,Negative,Messenger,10s-30s,"La película está muy X, no me gustó nada.","Means ""it's very average"" or ""it's unremarkable."" Common in Mexican slang. Indicates mediocrity.",2007,Casual,Phrase,Spanish
Estoy en mi era,Currently in a personal phase or focus area,Social,Positive,TikTok,10s-30s,Estoy en mi era de no tener miedo a nada.,"Refers to embracing a specific phase or identity. Popular in social media and personal branding. From ""I'm in my [blank] era,"" a trend to express self-identity.",2023,Casual,Phrase,Spanish
Full sad,Completely sad or going through it,Negative Experiences,Negative,Twitter,10s-30s,"Estoy full sad, no sé qué hacer con mi vida.","Means ""completely sad."" Used in casual talk, often humorously. Spanglish exaggeration of being sad.",2023,Casual,Phrase,Spanish
Tengo ansiedad,Used humorously to express mild stress,Negative Experiences,Negative,Twitter,10s-30s,Tengo ansiedad por el examen de mañana.,"Means ""I have anxiety."" Common in social media and personal conversations. Became meme-ish expression for everyday discomfort.",2023,Casual/Polite,Phrase,Spanish
Mínimo effort,Doing the bare minimum,Social,Negative,Instagram,10s-30s,Se nota que puso mínimo effort en su presentación.,"Means ""minimal effort,"" often used in casual contexts or to describe laid-back attitudes. Mix of Spanish and English; self-deprecating humor.",2023,Casual,Phrase,Spanish
Aesthetic,Used to describe visually pleasing content,Beauty,Positive,Instagram,10s-30s,"Esa cafetería tiene una vibe aesthetic, es perfecta para fotos.","Refers to visually pleasing style or design. Borrowed from English, popularized on social media. Adopted directly from English; often used in fashion/lifestyle.",2015,Casual,Word,Spanish
Modo god,Being at peak performance or excellence,Positive Experiences,Positive,TikTok,10s-30s,"¡Ando en modo god, todo me está saliendo bien!","Means ""god mode,"" referring to being at one's best. Popular in gaming and youth slang. God mode from gaming, meaning unbeatable state.",2023,Casual,Phrase,Spanish
Ando bien perra,Feeling fierce or powerful,Positive Experiences,Positive,TikTok,10s-30s,"¡Ando bien perra, todo está en mi control!","Means ""I'm feeling bold or confident."" Popular in Mexican slang and social media. Perra reclaimed as a term of strength among women.",2023,Casual,Phrase,Spanish
El chisme está bueno,The gossip is juicy,Social,Positive,Messenger,10s-30s,"El chisme está bueno, tienes que escuchar esto.","Means ""the gossip is good."" Common in informal conversations. Used humorously in comment sections or story times.",2007,Casual,Phrase,Spanish
Súper cancelado,Someone or something is totally rejected or disapproved,Social,Negative,Twitter,10s-30s,"Ese influencer está súper cancelado, ya nadie lo sigue.","Means ""super canceled,"" used to describe rejection or disapproval. Popular in internet culture. Reflects cancel culture language.",2023,Casual,Phrase,Spanish
El té está caliente,The gossip is very juicy,Social,Positive,TikTok,10s-30s,"El té está caliente, tienes que saber lo que pasó.","Means ""the tea is hot,"" referring to juicy gossip. Borrowed from English slang, popularized online. From English slang ""the tea is hot"" (about gossip).",2023,Casual,Phrase,Spanish
Ando modo señora,"Acting like an older, grumpy lady",Humor and Exaggerated,Neutral,TikTok,10s-30s,"¡Ando modo señora, solo quiero descansar y tomar té!","Means ""I'm feeling like a lady,"" often used humorously to describe responsible or domestic behavior. Mexican humor; refers to domestic/stern behavior in youth.",2023,Casual,Phrase,Spanish
Andas grave,Used when someone is acting overly dramatic or emotional,Negative Experiences,Negative,TikTok,10s-30s,¡Andas grave si sigues con ese comportamiento!,"Means ""you're in bad shape(eemotionally)"" or ""you're acting seriously."" Used humorously in casual conversations. Mexico-wide.",2023,Casual,Phrase,Spanish
Pisados,Said when someone is in a toxic or very controlling relationship,Negative Experiences,Negative,Messenger,10s-30s,"Los chicos estaban pisados después del examen, nadie quería hablar.",Slang for being controlled or dominated in a relationship. Common in Latin American slang. Also used among college students.,2006,Casual/Vulgar,Word,Spanish
Buena vibra,Used to describe someone or something with positive energy,Positive Experiences,Positive,Messenger,10s-30s,"Siempre intento mantener la buena vibra, es la clave.","Means ""good vibes."" Popular in informal and friendly contexts. Common on Instagram stories.",2007,Casual/Polite,Phrase,Spanish
Estoy living,Expression of extreme joy or excitement,Positive Experiences,Positive,Instagram,10s-30s,"¡Estoy living, qué noche tan increíble!","Borrowed from English, means ""I'm living my best life."" Popular in social media culture. Code-mixing with English.",2023,Casual,Phrase,Spanish
Traka,Exclamation when something is impressive or powerful,Social,Neutral,TikTok,10s-30s,"¡Eso está traka, no puedo creer que sucediera!",Refers to something impressive or shocking. Popular in youth slang and social media. Popular on TikTok.,2023,Casual/Vulgar,Word,Spanish
Qué perra mi amiga,Used to hype up a friend who did something amazing,Humor and Exaggerated,Positive,Instagram,10s-30s,"¡Qué perra mi amiga, se consiguió un trabajo increíble!","Playful phrase meaning ""how savage my friend is,"" often used humorously to compliment confidence. Feminine empowerment.",2023,Casual,Phrase,Spanish
Tiene el chisme caliente,Used when gossip is fresh and juicy,Social,Positive,TikTok,10s-30s,"¡Tiene el chisme caliente, te tienes que enterar de esto!","Means ""they have juicy gossip."" Popular in informal conversations and social media. Mexico-wide.",2023,Casual,Phrase,Spanish
Tamos ready,"Code-mixed way of saying ""we're ready""",Social,Positive,TikTok,10s-30s,¡Tamos ready para la fiesta de esta noche!,"Slang for ""we're ready."" Popular in youth slang, especially in party contexts. Common in online captions.",2023,Casual,Phrase,Spanish
Luzco cara,Phrase used to flex or show off wealth or style,Beauty,Positive,TikTok,10s-30s,¡Luzco cara con este nuevo maquillaje!,"Means ""I look expensive"" or ""I look stylish."" Used humorously or confidently. Mexico City origin.",2023,Casual,Phrase,Spanish
Es un 10 pero...,Meme format to evaluate someone humorously,Relationships,Neutral,TikTok,10s-30s,"Es un 10, pero su actitud no me gusta.",Refers to someone attractive but with a flaw. Popular in social media trends. Viral TikTok format.,2023,Casual,Phrase,Spanish
Fulanito vibes,Used to compare someone to a celebrity or stereotype,Social,Neutral,Instagram,10s-30s,"Esas son las fulanito vibes, siempre tan relajado.",Refers to embodying the vibe or essence of someone specific. Common in casual talk. Popular on TikTok.,2023,Casual,Phrase,Spanish
Full perreo,Used to describe a heavy reggaetón party or vibe,Hobbies,Positive,TikTok,10s-30s,"La fiesta fue de full perreo, todos bailando reggaetón.",Refers to fully embracing reggaeton dancing or lifestyle. Popular in Latin music culture. Tied to music scenes.,2023,Casual,Phrase,Spanish
Nivel Dios,To describe someone doing something exceptionally well,Positive Experiences,Positive,TikTok,10s-30s,"¡Su habilidad para jugar es de nivel Dios, nadie puede ganarle!","Means ""God level,"" referring to being at one's best. Popular in gaming and youth slang. Meme origin.",2023,Casual,Phrase,Spanish
En mood señora,Used when someone is acting very domestic or old,Humor and Exaggerated,Neutral,TikTok,10s-30s,"Estoy en mood señora, solo quiero quedarme en casa y ver películas.","Humorously refers to acting mature, responsible, or domestic. Popular in social media. Trend on TikTok.",2023,Casual,Phrase,Spanish
Bien bajado ese balón,Used when someone handled a tough situation well,Social,Positive,Twitter,10s-30s,"¡Bien bajado ese balón, qué jugada tan increíble!",Refers to handling a difficult situation gracefully. Common in Mexican slang. Mexican idiom reused.,2014,Casual,Phrase,Spanish
Ando modo villana,"Used when someone is confident, bold, unapologetic",Social,Positive/Negative,TikTok,10s-30s,"¡Ando modo villana hoy, me siento como la mala!","Means ""I'm embracing my villain mode,"" referring to confidence or rebellion. Popular in youth slang. Feminine empowerment.",2023,Casual,Phrase,Spanish
Papi chulo vibes,Used for flirtatious or stylish guys,Beauty,Positive,Instagram,10s-30s,"¡Con ese look tiene papi chulo vibes, se ve espectacular!",Refers to exuding charm or attractiveness. Popular in social media and music culture. Playful phrase.,2023,Casual,Phrase,Spanish
Me destruyó la rola,Used when a song hit you emotionally,Hobbies,Negative,TikTok,10s-30s,"¡Me destruyó la rola, me hizo llorar!","Means ""the song hit me emotionally."" Used in music-related conversations. Related to heartbreak or nostalgia.",2023,Casual,Phrase,Spanish
Traes la buena leche,Used when someone has good luck or good energy,Positive Experiences,Positive,TikTok,10s-30s,"¡Traes la buena leche con ese estilo, se ve increíble!",Refers to bringing good luck or positive energy. Common in informal talk. Mexican slang.,2023,Casual,Phrase,Spanish
Mi ciela,Used mockingly to respond to someone naive or dramatic,Relationships,Positive,Instagram,10s-30s,"¡Mi ciela, qué lindo tu mensaje, me hizo el día!","Playful term of endearment meaning ""my darling"" or ""my dear."" Popular in social media. TikTok / memes.",2023,Casual,Phrase,Spanish
Bendiciones para el chismecito,Playful way to refer to juicy gossip,Humor and Exaggerated,Positive,TikTok,10s-30s,"Bendiciones para el chismecito, porque está buenísimo.",Humorously refers to blessing gossip. Popular in memes and casual talk. TikTok trend.,2023,Casual,Phrase,Spanish
Bajó del cielo,Used when something unexpectedly amazing happens,Beauty,Positive,Instagram,10s-30s,"¡Ese chico bajó del cielo, se ve perfecto!",Refers to someone or something outstandingly beautiful or perfect. Common in informal settings. Mexican expressions.,2023,Casual,Phrase,Spanish
Tengo ansiedad aesthetic,Used sarcastically when overreacting or being dramatic,Negative Experiences,Negative,Instagram,10s-30s,Tengo ansiedad aesthetic por todo lo que está pasando.,"Combines ""anxiety"" with ""aesthetic,"" humorously describing emotional struggles with style. Meme / aesthetic combo.",2023,Casual,Phrase,Spanish
Te amo pero ya supéralo,Expression used when someone can’t move on,Relationships,Negative,TikTok,10s-30s,"Te amo pero ya supéralo, no podemos seguir así.",Humorous phrase for addressing someone stuck on a topic or person. Popular in casual talk. Meme & romantic contexts.,2023,Casual,Phrase,Spanish
Es el real MVP,Used to praise someone who did something admirable,Positive Experiences,Positive,Twitter,10s-30s,"Es el real MVP, siempre nos salva.","Acronym for ""Most Valuable Player,"" used to praise someone exceptional. Popular in sports and social media. Adapted from sports slang.",2013,Casual,Phrase,Spanish
Ando bendecida,Used when life is going great,Positive Experiences,Positive,TikTok,10s-30s,"¡Ando bendecida, todo me está saliendo bien!","Means ""I'm feeling blessed."" Common in social media and casual conversations. Feminine-coded.",2023,Casual,Phrase,Spanish
Memeo,"Phrase to say ""I'm laughing so hard""",Humor and Exaggerated,Positive,Twitter,10s-30s,"¡Qué buen memeo hiciste, me mataste de risa!","Slang for ""I'm laughing hard"" or ""I'm dying laughing."" Popular in social media. Viral in TikTok captions.",2023,Casual,Word,Spanish
Belik,Used to refer to someone “badass” or cool,Social,Positive,TikTok,10s-30s,"¡La belika está cañona, está por todos lados!",Slang for someone bold or rebellious. Used in youth slang and music contexts. Originates from “bélica.”,2023,Casual/Vulgar,Word,Spanish
Rata de dos patas,Used insultingly to refer to cheaters or toxic exes,Negative Experiences,Negative,null,10s-30s,"Es un verdadero rata de dos patas, no confío en él.","Popularized by the song of the same name, refers to someone deceitful or despicable. Based on old song, meme revival.",1995,Casual/Vulgar,Phrase,Spanish
Yeet,Used for duality between sweet and rebellious,Social,Neutral,TikTok,10s-30s,"¡Qué buena conejita mala, siempre se sale con la suya!",Refers to a mix of innocence and rebellion. Popularized in music and social media. TikTok sound trend.,2023,Casual,Phrase,Spanish
Cuevita vibe,Used when someone is being shy or private,Social,Positive,TikTok,10s-30s,"¡Qué cuevita vibe, todo está tan tranquilo aquí!",Refers to embracing a cozy or hidden lifestyle. Common in casual talk. TikTok-originated.,2023,Casual,Phrase,Spanish
Sí soy,Used when something is very relatable,Humor and Exaggerated,Positive,Instagram,10s-30s,"Sí soy, ¿qué pasa?","Means ""that's me,"" used to humorously admit relatable traits. Popular in social media. Common reaction on memes.",2023,Casual,Phrase,Spanish
Tu crush ni te pela,Phrase used to tease someone about unrequited love,Relationships,Negative,Twitter,10s-30s,"Tu crush ni te pela, ya es hora de dejarlo ir.","Means ""your crush doesn't even notice you."" Used humorously in casual talk. TikTok / Meme language.",2023,Casual,Phrase,Spanish
Full toxiqueo,Used to describe toxic but addictive situations,Relationships,Negative,TikTok,10s-30s,"Estoy en full toxiqueo, todo me irrita.",Refers to fully embracing toxic behavior in relationships. Popular in social media. TikTok term.,2023,Casual,Phrase,Spanish
Ando modo señora classy,Used when someone is acting elegant and proper,Humor and Exaggerated,Neutral,Instagram,10s-30s,"¡Ando modo señora classy, necesito un buen vino!",Humorously refers to acting mature and elegant. Popular in social media. Meme version of “modo señora.”,2023,Casual,Phrase,Spanish
Pedazo de persona,"Used sarcastically or admiringly, context-dependent",Social,Positive/Negative,Instagram,10s-30s,"¡Eres un pedazo de persona, siempre me apoyas!","Means ""an amazing person."" Common in casual compliments. Tone changes meaning.",2023,Casual,Phrase,Spanish
Te fuiste hasta la cocina,Used when someone went all-in or took things too far,Humor and Exaggerated,Positive,TikTok,10s-30s,"¡Te fuiste hasta la cocina con esa respuesta, nadie se lo esperaba!",Refers to going all out or achieving something impressive. Common in youth slang. Mexican saying used online.,2023,Casual,Phrase,Spanish
Potente,Used to describe someone or something powerful or striking,Positive Experiences,Positive,TikTok,10s-30s,"¡Qué potente está el café hoy, me está despertando mucho!","Means ""powerful"" or ""impressive."" Common in informal conversations. IG captions or reactions.",2023,Casual,Word,Spanish
Que truene todo,Used when someone wants to confront or escalate a situation,Social,Positive,TikTok,10s-30s,"¡Que truene todo, no me importa lo que pase!",Refers to letting everything happen or embracing chaos. Common in party contexts. Also used in songs.,2023,Casual,Phrase,Spanish
Joyita escondida,Used for underrated or hidden gems,Positive Experiences,Positive,TikTok,10s-30s,"¡Es una joyita escondida, nadie sabía lo genial que era!","Refers to a ""hidden gem,"" often used for underrated people or things. TikTok books, cafés, music.",2023,Casual,Phrase,Spanish
Tú no eres de Dios,Phrase used to call out outrageous or chaotic behavior,Humor and Exaggerated,Negative,Instagram,10s-30s,"Tú no eres de Dios, ¿cómo puedes hacer eso?",Humorously accuses someone of being mischievous or rebellious. Common in casual talk. Meme revival.,2023,Casual,Phrase,Spanish
Te aventaste un novelón,Used when someone exaggerates or dramatizes a story,Humor and Exaggerated,Neutral,TikTok,10s-30s,"¡Te aventaste un novelón con esa historia, qué dramática!",Refers to creating unnecessary drama or exaggeration. Common in informal settings. Telenovela reference.,2023,Casual,Phrase,Spanish
Es arte y no se cuestiona,Used to defend creative or bold choices,Positive Experiences,Positive,Instagram,10s-30s,"Es arte y no se cuestiona, así es como se hace.",Refers to appreciating something as art without criticism. Popular in social media culture. Art community & memes.,2023,Casual,Phrase,Spanish
Lo diste todo,Used to praise someone for giving full effort,Positive Experiences,Positive,TikTok,10s-30s,"Lo diste todo en la competencia, ¡me impresionaste!","Means ""you gave it your all."" Common in compliments. TikTok challenge context.",2023,Casual,Phrase,Spanish
Solita pero chula,Phrase used to celebrate independence and self-love,Relationships,Positive,Instagram,10s-30s,"¡Solita pero chula, me siento increíble hoy!","Means ""alone but fabulous."" Used to express independence confidently. TikTok caption trend.",2023,Casual,Phrase,Spanish
Trae calle,Used to say someone has street smarts,Positive Experiences,Positive,TikTok,10s-30s,"¡Ese chico trae calle, se nota que sabe lo que hace!",Refers to being street-smart or savvy. Common in youth slang. Mexican slang.,2023,Casual,Phrase,Spanish
Pura finura,"Used to flex about style, luxury, or elegance",Social,Positive,Instagram,10s-30s,"¡Qué pura finura de persona, siempre tan educado!","Means ""pure elegance"" or ""refined style."" Common in compliments. Slang in fashion content.",2023,Casual,Phrase,Spanish
Todos bien menos yo,Used jokingly when you feel left out or unlucky,Negative Experiences,Negative,Twitter,10s-30s,"Todos bien menos yo, siempre soy la excepción.",Humorously describes feeling excluded or unlucky. Popular in social media. Meme response.,2023,Casual,Phrase,Spanish
Modo fiera,"Used when someone is acting bold, strong, and unapologetic",Social,Positive,TikTok,10s-30s,"¡Ando en modo fiera, nadie me detiene hoy!",Refers to being bold or fierce. Common in youth slang and casual talk. TikTok + gym trend.,2023,Casual,Phrase,Spanish
Fachero,"Used to describe someone who looks stylish, attractive, or well-dressed",Beauty,Positive,TikTok,10s-30s,Ese chico está bien fachero con ese outfit.,"Slang for someone stylish or fashionable. Popularized in Latin American youth slang. Originally from Argentina, now used in other Spanish-speaking countries through social media.",2023,Casual,Word,Spanish
No estoy soportando,Used humorously to say something is emotionally overwhelming,Negative Experiences,Positive/Negative,Twitter,10s-30s,¡No estoy soportando lo hermosa que está esta canción!,"Means ""I can't handle it anymore."" Popular in social media and memes. Viral slang on TikTok and social media. Tone depends on context — often playful, ironic, or dramatic.",2023,Casual,Phrase,Spanish
